fid,DHW,maxhs,HIR,SSTA,SSTA_SD,SSTA_freq,SSTA_freq_SD,LAT,LON,Depth,Year,Month,Seve,Seve2,DIST_M,DIST_L,PAR,kd490,ECOREGION,Site,wind,ONI,cyclone_100,cyclone_200,cyclone
619,3.48858,1.88,0.183609,2,0.419631,154,47.9862,-18.7502,147.2688,-2.913829327,1998,2,0.999832,3,nan,54,51.558,0.59,20143,Torres Strait & Great Barrier Reef,5.16486,1.93,0,0,0
620,5.33714,2.17,0.242597,2.24839,0.539326,129,42.0465,-18.6587,146.4852,-14.39182472,1998,2,0.999832,3,0.947711,0,50.636,0.75,20143,Torres Strait & Great Barrier Reef,3.09635,1.93,0,0,0
621,1.58714,1.25,0.0793572,1.37742,0.347459,132,47.0726,-17.2661,146.3636,-3.021100521,1998,2,0.999832,3,nan,34,45.124,0.54,20143,Torres Strait & Great Barrier Reef,4.72417,1.93,0,0,0
622,1.76857,1.32,0.0930828,1.39517,0.333901,156,47.5125,-17.8847,146.5938,-17.3417778,1998,2,0.999832,3,nan,44,48.398,0.838,20143,Torres Strait & Great Barrier Reef,4.73477,1.93,0,0,0
623,0.144286,0.980001,0.144286,1.05862,0.367917,112,48.128,-16.7601,147.7259,-9.296453476,1998,2,0.999832,3,nan,184,56.63,0.276,20150,Torres Strait & Great Barrier Reef,5.59268,1.93,0,0,0
624,4.56,1.83,0.069091,1.85,0.370642,140,38.4643,-23.4439,151.9286,-1.171842694,1998,2,0.999832,3,nan,22,57.934,0.836,20143,Torres Strait & Great Barrier Reef,4.37946,1.93,0,0,0
626,0.445715,1.07,0.111429,1.14724,0.317168,135,40.867,-20.2596,148.8417,-8.222476006,1998,2,0.333389,1,6.93407,0,48.328,0.636,20143,Torres Strait & Great Barrier Reef,4.62524,1.93,0,0,0
627,6.81286,1.91,0.101684,2.20207,0.339992,75,26.1701,-24.925,152.5015,-6.570418835,1998,2,0.666611,2,1.79794,2,53.41,1.518,20202,Bundaberg,3.84543,1.93,0,0,0
628,0.302857,1.05,0.0504762,1.15613,0.265951,139,48.8673,-16.7078,146.0142,-2.476361275,1998,2,0.666611,2,nan,21,46.392,0.69,20143,Torres Strait & Great Barrier Reef,5.47773,1.93,0,0,0
629,5.28429,2.21,0.240195,2.30129,0.492751,146,43.9204,-18.7691,146.6305,-12.2464056,1998,2,0.666611,2,6.0451,-1,48.168,0.71800005,20143,Torres Strait & Great Barrier Reef,4.1919,1.93,0,0,0
