NAME,SEASON,LAT,LON,WMO_WIND,ISO_TIME,STORM_LABEL
YASI,2011,-13.9,157.6,,2011-01-31 21:00:00,Yasi (2011)
YASI,2011,-14.1,156.7,80.0,2011-02-01 00:00:00,Yasi (2011)
YASI,2011,-14.2,155.8,,2011-02-01 03:00:00,Yasi (2011)
YASI,2011,-14.4,155.0,90.0,2011-02-01 06:00:00,Yasi (2011)
YASI,2011,-14.6,154.1,,2011-02-01 09:00:00,Yasi (2011)
YASI,2011,-15.0,153.3,105.0,2011-02-01 12:00:00,Yasi (2011)
YASI,2011,-15.3,152.5,,2011-02-01 15:00:00,Yasi (2011)
YASI,2011,-15.8,151.7,105.0,2011-02-01 18:00:00,Yasi (2011)
YASI,2011,-16.1,150.7,,2011-02-01 21:00:00,Yasi (2011)
YASI,2011,-16.5,149.8,105.0,2011-02-02 00:00:00,Yasi (2011)
YASI,2011,-16.8,148.9,,2011-02-02 03:00:00,Yasi (2011)
YASI,2011,-17.1,148.1,110.0,2011-02-02 06:00:00,Yasi (2011)
YASI,2011,-17.2,147.5,,2011-02-02 09:00:00,Yasi (2011)
YASI,2011,-17.5,146.9,110.0,2011-02-02 12:00:00,Yasi (2011)
YASI,2011,-17.9,146.1,110.0,2011-02-02 14:30:00,Yasi (2011)
YASI,2011,-17.9,146.0,,2011-02-02 15:00:00,Yasi (2011)
YASI,2011,-18.4,145.1,85.0,2011-02-02 18:00:00,Yasi (2011)
YASI,2011,-18.9,144.1,,2011-02-02 21:00:00,Yasi (2011)
YASI,2011,-19.3,143.2,50.0,2011-02-03 00:00:00,Yasi (2011)
YASI,2011,-19.7,142.3,,2011-02-03 03:00:00,Yasi (2011)
YASI,2011,-19.9,141.6,35.0,2011-02-03 06:00:00,Yasi (2011)
YASI,2011,-20.2,141.0,,2011-02-03 09:00:00,Yasi (2011)
YASI,2011,-20.4,140.4,30.0,2011-02-03 12:00:00,Yasi (2011)
YASI,2011,-20.7,139.9,,2011-02-03 15:00:00,Yasi (2011)
YASI,2011,-21.0,139.4,,2011-02-03 18:00:00,Yasi (2011)
YASI,2011,-21.3,138.9,,2011-02-03 21:00:00,Yasi (2011)
YASI,2011,-21.6,138.5,,2011-02-04 00:00:00,Yasi (2011)
YASI,2011,-22.0,138.1,,2011-02-04 03:00:00,Yasi (2011)
HAMISH,2009,-12.6,148.2,,2009-03-04 18:00:00,Hamish (2009)
HAMISH,2009,-12.8,148.0,,2009-03-04 21:00:00,Hamish (2009)
HAMISH,2009,-13.0,147.7,30.0,2009-03-05 00:00:00,Hamish (2009)
HAMISH,2009,-13.1,147.5,,2009-03-05 03:00:00,Hamish (2009)
HAMISH,2009,-13.2,147.3,35.0,2009-03-05 06:00:00,Hamish (2009)
HAMISH,2009,-13.3,147.1,,2009-03-05 09:00:00,Hamish (2009)
HAMISH,2009,-13.4,147.1,50.0,2009-03-05 12:00:00,Hamish (2009)
HAMISH,2009,-13.7,147.0,,2009-03-05 15:00:00,Hamish (2009)
HAMISH,2009,-14.0,146.9,55.0,2009-03-05 18:00:00,Hamish (2009)
HAMISH,2009,-14.3,146.9,,2009-03-05 21:00:00,Hamish (2009)
HAMISH,2009,-14.5,146.9,60.0,2009-03-06 00:00:00,Hamish (2009)
HAMISH,2009,-14.7,146.8,,2009-03-06 03:00:00,Hamish (2009)
HAMISH,2009,-14.9,146.8,65.0,2009-03-06 06:00:00,Hamish (2009)
HAMISH,2009,-15.2,147.0,,2009-03-06 09:00:00,Hamish (2009)
HAMISH,2009,-15.5,147.3,80.0,2009-03-06 12:00:00,Hamish (2009)
HAMISH,2009,-15.9,147.5,,2009-03-06 15:00:00,Hamish (2009)
HAMISH,2009,-16.3,147.8,90.0,2009-03-06 18:00:00,Hamish (2009)
HAMISH,2009,-16.7,148.0,,2009-03-06 21:00:00,Hamish (2009)
HAMISH,2009,-17.1,148.3,100.0,2009-03-07 00:00:00,Hamish (2009)
HAMISH,2009,-17.5,148.5,,2009-03-07 03:00:00,Hamish (2009)
HAMISH,2009,-17.9,148.8,110.0,2009-03-07 06:00:00,Hamish (2009)
HAMISH,2009,-18.3,149.1,,2009-03-07 09:00:00,Hamish (2009)
HAMISH,2009,-18.6,149.4,115.0,2009-03-07 12:00:00,Hamish (2009)
HAMISH,2009,-18.9,149.7,,2009-03-07 15:00:00,Hamish (2009)
HAMISH,2009,-19.2,150.0,115.0,2009-03-07 18:00:00,Hamish (2009)
HAMISH,2009,-19.6,150.3,,2009-03-07 21:00:00,Hamish (2009)
HAMISH,2009,-20.0,150.5,115.0,2009-03-08 00:00:00,Hamish (2009)
HAMISH,2009,-20.4,150.8,,2009-03-08 03:00:00,Hamish (2009)
HAMISH,2009,-20.7,151.0,115.0,2009-03-08 06:00:00,Hamish (2009)
HAMISH,2009,-21.0,151.3,,2009-03-08 09:00:00,Hamish (2009)
HAMISH,2009,-21.2,151.5,115.0,2009-03-08 12:00:00,Hamish (2009)
HAMISH,2009,-21.4,151.8,,2009-03-08 15:00:00,Hamish (2009)
HAMISH,2009,-21.6,152.1,115.0,2009-03-08 18:00:00,Hamish (2009)
HAMISH,2009,-21.8,152.4,,2009-03-08 21:00:00,Hamish (2009)
HAMISH,2009,-22.1,152.7,95.0,2009-03-09 00:00:00,Hamish (2009)
HAMISH,2009,-22.5,153.0,,2009-03-09 03:00:00,Hamish (2009)
HAMISH,2009,-22.8,153.3,95.0,2009-03-09 06:00:00,Hamish (2009)
HAMISH,2009,-23.0,153.5,,2009-03-09 09:00:00,Hamish (2009)
